"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Adams Kebabs and Pizza Pide3/183B Forest Road","2am to 2:20am on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlton","Aldi Carlton74 Edward Street","2:10pm to 3pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Waterloo","Aldi Waterloo20A Danks Street","9:30am to 10am on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Punchbowl","Ampol Foodary Punchbowl1285-1289 Canterbury Road and Duncan St","4:20pm to 4:35pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Asal Sweet PatisserieShop 4, 196-200 Merrylands Road","4pm to 7pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Marulan North","BP Express Marulan Northbound15666 Hume Highway","5pm to 5:30pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Bunnings Bonnyrigg1/9 Bonnyrigg Avenue","10:45am to 12pm on Friday 9 July 20211:45pm to 2:15pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","North Rocks","Coles North Rocks318-336 North Rocks Road","10pm to 10:40pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Elias Pharmacy37-41 Ware Street","3:30pm to 3:35pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi Junction","EzyMart Bondi Junction26 Bronte Road","11:50am to 12:20pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Fairfield Forum Meat MarketFairfield Forum, 8/36 Station Street","3pm to 4pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Edensor Park","Fred's One Stop Shopping 661-671 Smithfield Road","4:15pm to 4:30pm on Sunday 11 July 20211:30pm to 3:30pm on Sunday 4 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Horizon Mobile Centre9/104-106 Ware Street","2:35pm to 3:05pm on Friday 9 July 202112:30pm to 1:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Marulan","Hungry Jacks Marulan North8 George Street","5pm to 5:30pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","JB HiFi Broadway1 Bay Street","12:10pm to 12:20pm on Thursday 8 July 20212pm to 2:35pm on Sunday 4 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Kmart FairfieldFairfield Forum, 8/36 Station Street","2:05pm to 2:15pm on Friday 9 July 20213:45pm to 3:55pm on Friday 9 July 20217pm to 7:20pm on Wednesday 7 July 20218pm to 8:10pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Chipping Norton","Lakeland Take Away8/94 Epsom Road","2:55pm to 3:05pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Greenacre","McDonalds Greenacre North74 Roberts Road","2:30pm to 3pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Oporto HurstvilleWestfield Hurstville, Cross Street and Park Road","5pm to 5:15pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Priceline Pharmacy Wetherill ParkStockland Wetherill Park, 561-583 Polding Street","1pm to 2pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Red Lea ChickenNeeta City Shopping Centre, 46 Smart Street","10:20am to 10:50am on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Ren de tang Chinese Medicine232 Forrest Road","3:35pm to 3:55pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Sadaqat Supermarket6 Memorial Avenue","4pm to 7pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Starbucks HurstvilleWestfield Hurstville, Cross Street and Park Road","12:10pm to 12:15pm on Sunday 11 July 202112pm to 12:05pm on Saturday 10 July 20218am to 8:10am on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rosebery","Valentino Place residential apartment complex1, 5, 9 Rothschild Avenue, 2, 4, 6, Spring Street and 2, 4 Stedman Street","All day on Monday 12 July 2021All day on Sunday 11 July 2021All day on Saturday 10 July 2021All day on Friday 9 July 2021All day on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Woolworths Wetherill ParkStockland Wetherill Park, 561-583 Polding Street","1pm to 2pm on Saturday 10 July 202112pm to 12:35pm on Saturday 10 July 20214:15pm to 5:15pm on Saturday 10 July 20213pm to 3:15pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"14/07/2021","Monitor for symptoms.","Yagoona","5 Stars Nuts Supermarket516-526 Hume Highway","5pm to 5:30pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bexley","7-Eleven Bexley611-615 Forest Road","7pm to 8pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Double Bay","ARTE Bianca Pizza Restaurant51 Bay Street","5:15pm to 8:30pm on Tuesday 6 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Bellagio Tuckshop60 Bronte Road","12:10pm to 12:20pm on Sunday 11 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Barangaroo","Bourke Street Bakery Barangaroo4/23 Barangaroo Avenue","1:20pm to 1:35pm on Tuesday 6 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Panania","Butchers Pantry88 Anderson Avenue","2:25pm to 2:35pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","BWS Bondi JunctionWestfield Bondi Junction, 530 Oxford Street","3:45pm to 3:50pm on Saturday 10 July 20216:20pm to 6:30pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Casula","Chemist Warehouse CasulaCrossroads Homemaker Centre, 15/5 Parkers Farm Place","1:20pm to 1:30pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Coles Bondi EastgateEastgate Shopping Centre, Spring Street and Newland Street","1pm to 1:35pm on Monday 12 July 20213:45pm to 4pm on Friday 9 July 20211pm to 1:30pm on Sunday 4 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","David Jones Bondi JunctionWestfield Bondi Junction, 500 Oxford Street","1:10pm to 1:30pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Mortdale","Filter Cafe3A Morts Road","1:20pm to 1:35pm on Friday 9 July 20217:45am to 8am on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Harris Farm Markets Bondi JunctionWestfield Bondi Junction, 500 Oxford Street","1:30pm to 4pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Fairfield","Kmart FairfieldFairfield Forum, 8/36 Station Street","2:45pm to 3:05pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Kmart Westfield Bondi JunctionWestfield Bondi Junction, 500 Oxford Street","3pm to 3:25pm on Saturday 10 July 20211:15pm to 2pm on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Liquorland Bondi JunctionEbley Street","3:45pm to 3:50pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Mortdale","Mamma Barone Italian Restaurant27A Morts Road","7:25pm to 7:45pm on Sunday 11 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Peakhurst","Metro Petroleum Peakhurst637 Forest Road","10:20am to 10:30am on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Sydney","Paddy's Market Haymarket9-13 Hay Street","11:50am to 12:10pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Sutherland","Priceline Pharmacy Sutherland764 Old Princess Highway","3:40pm to 4pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Bondi Junction","Shell Coles Express Bondi Junction120-138 Birrell Street","9:10am to 9:20am on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Sylvania","Southgate PharmacySouthgate Shopping Centre, Princes Highway and Port Hacking Road","11:05am to 11:20am on Tuesday 6 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"14/07/2021","Monitor for symptoms.","Mortdale","Woolworths MortdaleMortdale Plaza, 84D Roberts Avenue","11:45am to 12:05pm on Saturday 10 July 20214:50pm to 5:20pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Lakemba","BHC Medical Centre53 Railway Parade","8:35am to 8:55am on Monday 12 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Punchbowl","Chubby Buns Burger1600 Canterbury Road","7pm to 7:10pm on Wednesday 7 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Fairfield","Coles FairfieldFairfield Forum, 8/36 Station Street","7am to 3pm on Sunday 11 July 202112pm to 5:30pm on Saturday 10 July 20217am to 12pm on Friday 9 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Edensor Park","Fred's One Stop Shopping661-671 Smithfield Road","2pm to 3pm on Friday 9 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Condell Park","IGA Condell ParkShop 1/63-77 Simmat Avenue","8:55am to 9:10am on Monday 12 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Yagoona","Kaffeine and Co7/44 Dargan Street","1:30pm to 2pm on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Rockdale","KFC Rockdale274 Princes Highway","10:30am to 4:30pm on Thursday 8 July 202110:30am to 4:30pm on Monday 5 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Bankstown","Pharmacy BankstownPrimary Health Care Medical and Dental Centre, 67 Rickard Road","9:45pm to 10pm on Wednesday 7 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate for 14 days.","Greenacre","Sydney Wide Building Materials53 Anzac Street","6:50am to 7:20am on Friday 9 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately and self-isolate until you receive further advice.","Windsor","Coles Windsor223 George Street","1:20pm to 3pm on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belrose","Belrose Hotel Bottle Shop5 Hews Parade","4:45pm to 5:15pm on Sunday 11 July 20217:20pm to 7:45pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi Junction","Blooms the Chemist Bondi JunctionEastgate Bondi Junction, 71/91 Spring Street","12:05pm to 12:15pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield East","BP Carrington183 The Horsley Drive","4:45pm to 5pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belrose","Bunnings BelroseNiangala Close","1:15pm to 2pm on Sunday 11 July 20217pm to 7:45pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Blacktown","Cotton On BlacktownLevel 3 Westpoint Blacktown, 17 Patrick Street","1pm to 1:10pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Blacktown","Cotton On Body BlacktownLevel 3 Westpoint Blacktown, 17 Patrick Street","1:10pm to 1:20pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Guildford","Dan Murphy's Guildford150 Rawson Road","6pm to 6:45pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Blacktown","Espresso Warriors BlacktownLevel 3 Westpoint Blacktown, 17 Patrick Street","1:10pm to 1:15pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Blacktown","Factorie BlacktownLevel 3 Westpoint Blacktown, 17 Patrick Street","1:20pm to 1:30pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Frenchs Forest","Gyronimos Frenchs ForestShop 27 Forestway Shopping Centre, 20 Forest Way","1:30pm to 2:15pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Ramsgate Beach","Health Save Pharmacy Ramsgate183A Ramsgate Road","5pm to 5:40pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rockdale","KFC Rockdale274 Princes Highway","10:30am to 1:30pm on Wednesday 7 July 202110am to 4pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Emu Plains","Lennox Village Emu Plains Corner Great Western Highway and 1 Pyramid Street","3:40pm to 4:30pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Emu Plains","McDonalds Emu PlainsCorner Old Bathurst Road and Russell Street","2pm to 2:30pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Yagoona","Mina Bakery7/50 Dargan Street","1:30pm to 2pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"13/07/2021","Get tested immediately. Self-isolate until you get a negative result.","St Ives","O'Loughlins Medical PharmacySt Ives Shopping Village, 166 Mona Vale Road","6pm to 6:30pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
